
"88053_Barendrecht_2026-02-08_08:57:12_Padelbaan 4c;10:00; 88053; Barendrecht; Padelbaan 4c;  beschikbaar; € 11,00"
"216837_Club Krimpen_2026-02-08_08:57:16_Padelbaan 1;10:00; 216837; Club Krimpen; Padelbaan 1;  beschikbaar; € 28,00"
"216837_Club Krimpen_2026-02-08_08:57:16_Padelbaan 2;10:00; 216837; Club Krimpen; Padelbaan 2;  beschikbaar; € 28,00"
"216837_Club Krimpen_2026-02-08_08:57:16_Padelbaan 3;10:00; 216837; Club Krimpen; Padelbaan 3;  verhuurd; onbekend"
"216837_Club Krimpen_2026-02-08_08:57:16_Padelbaan 4;10:00; 216837; Club Krimpen; Padelbaan 4;  beschikbaar; € 28,00"
"216837_Club Krimpen_2026-02-08_08:57:16_Padelbaan 5;10:00; 216837; Club Krimpen; Padelbaan 5;  beschikbaar; € 28,00"
"216837_Club Krimpen_2026-02-08_08:57:16_Padelbaan 6;10:00; 216837; Club Krimpen; Padelbaan 6;  beschikbaar; € 28,00"
"216837_Club Krimpen_2026-02-08_08:57:16_Padelbaan 7;10:00; 216837; Club Krimpen; Padelbaan 7;  beschikbaar; € 28,00"
"216837_Club Krimpen_2026-02-08_08:57:16_Padelbaan 8;10:00; 216837; Club Krimpen; Padelbaan 8;  beschikbaar; € 22,00"
"216837_Club Krimpen_2026-02-08_08:57:16_Padelbaan 9;10:00; 216837; Club Krimpen; Padelbaan 9;  beschikbaar; € 22,00"
